period,order_count,total_sales,avg_order_value,std_order_value,total_quantity,avg_quantity,unique_customers,avg_delivery_time,std_delivery_time,avg_rating,date,day_of_week,month,week_of_year,cat_sales_Baby Care,cat_sales_Cold Drinks & Juices,cat_sales_Dairy & Breakfast,cat_sales_Fruits & Vegetables,cat_sales_Grocery & Staples,cat_sales_Household Care,cat_sales_Instant & Frozen Food,cat_sales_Personal Care,cat_sales_Pet Care,cat_sales_Pharmacy,cat_sales_Snacks & Munchies,seg_sales_Inactive,seg_sales_New,seg_sales_Premium,seg_sales_Regular,delivery_On_Time,delivery_Significantly_Delayed,delivery_Slightly_Delayed,sentiment_Negative,sentiment_Neutral,sentiment_Positive,payment_Card,payment_Cash,payment_UPI,payment_Wallet,total_sales_lag_1,total_sales_lag_7,total_sales_lag_14,total_sales_lag_30,total_sales_ma_7,total_sales_std_7,total_sales_min_7,total_sales_max_7,total_sales_ma_14,total_sales_std_14,total_sales_min_14,total_sales_max_14,total_sales_ma_30,total_sales_std_30,total_sales_min_30,total_sales_max_30,total_sales_mom_growth,total_sales_yoy_growth
2023-03-16,9,16066.04,1785.1155555555556,1208.6724523326318,18,2.0,9,5.444444444444445,7.17828515578601,3.111111111111111,2023-03-16,3,2023-03-16,11,6238.139999999999,0.0,563.45,3820.2699999999995,616.45,0.0,2978.36,1809.72,0.0,39.65,0.0,0.0,5638.25,6607.52,3820.2699999999995,6.0,1.0,2.0,3.0,5.0,1.0,3128.67,3536.51,5114.45,4286.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-17,6,10818.65,1803.1083333333333,690.6010525163329,9,1.5,6,1.1666666666666667,3.311595788538611,3.1666666666666665,2023-03-17,4,2023-03-17,11,0.0,646.54,0.0,0.0,0.0,1697.37,0.0,0.0,4612.54,2354.28,1507.92,646.54,1507.92,2569.47,6094.72,5.0,0.0,1.0,3.0,1.0,2.0,4923.75,646.54,0.0,5248.36,16066.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32661377663693114,0.0
2023-03-18,7,18575.53,2653.6471428571426,603.1333271539631,16,2.2857142857142856,7,3.0,5.259911279353167,3.2857142857142856,2023-03-18,5,2023-03-18,11,0.0,6487.299999999999,0.0,2294.77,0.0,0.0,2246.93,0.0,5344.84,2201.69,0.0,5571.860000000001,6487.299999999999,6516.37,0.0,6.0,0.0,1.0,1.0,5.0,1.0,4269.4400000000005,5527.5599999999995,5408.36,3370.17,10818.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7169914915446935,0.0
2023-03-19,7,15214.11,2173.444285714286,1184.3139853217015,13,1.8571428571428572,7,4.142857142857143,11.305287427107892,3.4285714285714284,2023-03-19,6,2023-03-19,11,3535.59,0.0,8507.25,0.0,0.0,0.0,0.0,0.0,397.68,0.0,2773.59,0.0,4629.46,6200.23,4384.42,5.0,1.0,1.0,1.0,3.0,3.0,8165.05,2266.96,0.0,4782.1,18575.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18095957423556686,0.0
2023-03-20,4,11312.74,2828.185,1424.9503541878223,4,1.0,4,8.0,5.715476066494082,4.25,2023-03-20,0,2023-03-20,12,0.0,4549.72,0.0,1664.01,0.0,0.0,0.0,0.0,3448.71,1650.3,0.0,3448.71,4549.72,1650.3,1664.01,2.0,0.0,2.0,0.0,1.0,3.0,1664.01,4549.72,1650.3,3448.71,15214.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2564310367152598,0.0
2023-03-21,13,28755.25,2211.9423076923076,1346.0935853867038,25,1.9230769230769231,13,7.153846153846154,10.761398250584927,3.1538461538461537,2023-03-21,1,2023-03-21,12,0.0,0.0,0.0,2930.6,0.0,4058.84,5393.48,6000.76,6563.49,2970.9,837.1800000000001,7029.74,14496.169999999998,4183.54,3045.8,6.0,2.0,5.0,3.0,7.0,3.0,3808.08,12444.61,8639.17,3863.39,11312.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5418466260163322,0.0
2023-03-22,6,18591.74,3098.6233333333334,1200.6914584965893,10,1.6666666666666667,6,0.8333333333333334,5.564770136013407,3.6666666666666665,2023-03-22,2,2023-03-22,12,0.0,918.65,0.0,3510.24,4469.56,0.0,0.0,0.0,6898.17,0.0,2795.12,8183.33,6898.17,3510.24,0.0,5.0,0.0,1.0,1.0,3.0,2.0,4469.56,3635.31,2795.12,7691.75,28755.25,0.0,0.0,0.0,17047.722857142857,6024.970121324847,10818.65,28755.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35344884847114866,0.0
2023-03-23,5,12322.06,2464.412,1460.3597573269403,8,1.6,5,3.4,12.581732790041283,3.0,2023-03-23,3,2023-03-23,12,0.0,0.0,5563.57,1099.91,1072.95,0.0,0.0,0.0,0.0,4585.63,0.0,0.0,10149.2,1072.95,1099.91,4.0,1.0,0.0,4.0,0.0,1.0,3756.09,4585.63,1072.95,2907.39,18591.74,16066.04,0.0,0.0,16512.86857142857,6287.1203561445855,10818.65,28755.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33722932872340095,0.0
2023-03-24,4,5978.53,1494.6325,199.462768016991,7,1.75,4,4.75,6.652067347825035,4.0,2023-03-24,4,2023-03-24,12,0.0,0.0,0.0,0.0,1413.39,1731.34,0.0,1566.3,1267.5,0.0,0.0,3297.64,1267.5,1413.39,0.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,2998.84,0.0,2979.69,12322.06,10818.65,0.0,0.0,15821.422857142856,7215.362984673085,5978.53,28755.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5148108352012569,0.0
2023-03-25,11,28272.42,2570.22,1308.844105002578,20,1.8181818181818181,11,4.545454545454546,9.605869417846948,3.272727272727273,2023-03-25,5,2023-03-25,12,0.0,2379.3,5993.02,3934.29,3219.23,2332.14,9043.27,0.0,1371.17,0.0,0.0,2332.14,5880.26,15572.8,4487.22,8.0,1.0,2.0,4.0,3.0,4.0,17606.06,5794.2300000000005,0.0,4872.13,5978.53,18575.53,0.0,0.0,17206.692857142858,8625.332755806612,5978.53,28755.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7289919093824064,0.0
2023-03-26,9,16496.66,1832.9622222222222,1124.7214156600933,18,2.0,9,6.666666666666667,10.099504938362077,3.2222222222222223,2023-03-26,6,2023-03-26,12,0.0,2801.84,858.57,0.0,0.0,1540.67,671.55,559.88,3819.84,6244.3099999999995,0.0,4237.860000000001,671.55,7767.41,3819.84,5.0,1.0,3.0,3.0,1.0,5.0,3720.44,6326.14,3473.3900000000003,2976.69,28272.42,15214.11,0.0,0.0,17389.914285714283,8589.499019760227,5978.53,28755.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4165105074132317,0.0
2023-03-27,6,14704.150000000001,2450.691666666667,1626.5222926036604,14,2.3333333333333335,6,5.0,8.390470785361213,3.1666666666666665,2023-03-27,0,2023-03-27,13,0.0,898.05,4235.05,0.0,0.0,0.0,4694.92,4876.13,0.0,0.0,0.0,1097.17,4876.13,3597.75,5133.1,4.0,1.0,1.0,3.0,1.0,2.0,6109.16,898.05,0.0,7696.9400000000005,16496.66,11312.74,0.0,0.0,17874.40142857143,8279.645205976378,5978.53,28755.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10865896490562321,0.0
2023-03-28,9,20663.71,2295.967777777778,1008.0741429921931,16,1.7777777777777777,9,2.5555555555555554,6.948221195225277,4.0,2023-03-28,1,2023-03-28,13,0.0,3077.83,5979.48,4521.0,0.0,3174.92,0.0,0.0,3379.63,0.0,530.85,5979.48,8129.68,0.0,6554.55,7.0,0.0,2.0,1.0,4.0,4.0,0.0,12763.08,7900.63,0.0,14704.150000000001,28755.25,0.0,0.0,16718.467142857142,6968.371839762175,5978.53,28272.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40529782408367687,0.2861731951370716
2023-03-29,10,24792.6,2479.2599999999998,1346.6788651922757,23,2.3,10,3.4,5.059644256269407,3.6,2023-03-29,2,2023-03-29,13,2163.7,0.0,4399.58,1824.21,0.0,2559.17,2783.11,0.0,3474.77,3584.24,4003.82,10702.93,6562.99,3538.77,3987.91,7.0,0.0,3.0,3.0,5.0,2.0,4339.9,6358.48,5278.280000000001,8815.94,20663.71,18591.74,0.0,0.0,17604.304285714286,7610.724392537277,5978.53,28272.42,17326.01357142857,6600.84251356377,5978.53,28755.25,0.0,0.0,0.0,0.0,0.19981358623403045,1.2916537645639705
2023-03-30,7,16978.190000000002,2425.4557142857147,1123.969864303267,13,1.8571428571428572,7,8.428571428571429,13.163803184707461,3.4285714285714284,2023-03-30,3,2023-03-30,13,0.0,2295.91,4125.04,0.0,1506.38,840.34,0.0,0.0,6186.360000000001,0.0,2024.16,2295.91,5594.0599999999995,3456.8,5631.42,4.0,2.0,1.0,2.0,3.0,2.0,3530.54,6186.360000000001,0.0,7261.29,24792.6,12322.06,16066.04,0.0,18269.465714285714,7267.869827734619,5978.53,28272.42,17391.167142857143,6591.94498297433,5978.53,28755.25,0.0,0.0,0.0,0.0,-0.31519122641433317,-0.08599162446508912
2023-03-31,7,13336.58,1905.2257142857143,1555.7346697392109,13,1.8571428571428572,7,4.714285714285714,6.77530529974568,3.5714285714285716,2023-03-31,4,2023-03-31,13,0.0,0.0,0.0,0.0,2830.19,1253.38,46.62,0.0,1381.29,4478.63,3346.47,2830.19,5068.12,5391.650000000001,46.62,4.0,0.0,3.0,1.0,5.0,1.0,2975.03,6968.460000000001,3346.47,46.62,16978.190000000002,5978.53,10818.65,0.0,19320.615714285716,5514.578217134585,13336.58,28272.42,17571.019285714287,6431.218587490559,5978.53,28755.25,0.0,0.0,0.0,0.0,-0.2144875278224594,-0.12340715296524085
2023-04-01,6,12774.35,2129.0583333333334,1618.1590986601616,14,2.3333333333333335,6,5.0,6.196773353931867,3.3333333333333335,2023-04-01,5,2023-04-01,13,4026.32,0.0,0.0,2923.98,0.0,4693.85,369.98,760.22,0.0,0.0,0.0,5063.83,4026.32,760.22,2923.98,4.0,0.0,2.0,3.0,1.0,2.0,7751.23,2923.98,1729.16,369.98,13336.58,28272.42,18575.53,0.0,17106.605714285713,4298.630602664282,12774.35,24792.6,17156.649285714284,6547.357671762843,5978.53,28755.25,0.0,0.0,0.0,0.0,-0.042156984774207484,0.12920035287649156
2023-04-02,9,21450.99,2383.4433333333336,1120.8248743224788,19,2.111111111111111,9,1.5555555555555556,5.76868943329226,3.888888888888889,2023-04-02,6,2023-04-02,13,0.0,3568.61,0.0,3868.6099999999997,0.0,0.0,0.0,3151.21,6968.620000000001,2086.82,1807.12,6719.82,5642.38,7599.88,1488.91,7.0,0.0,2.0,2.0,1.0,6.0,4492.41,5973.64,4640.12,6344.82,12774.35,16496.66,15214.11,0.0,17814.367142857143,4580.11112889456,12774.35,24792.6,17602.140714285713,6616.83185275187,5978.53,28755.25,0.0,0.0,0.0,0.0,0.6792236004180252,-0.2540148320741429
2023-04-03,6,15198.35,2533.0583333333334,1025.760393023959,12,2.0,6,9.5,11.995832609702422,3.0,2023-04-03,0,2023-04-03,14,0.0,0.0,0.0,0.0,0.0,5528.25,552.2,3121.04,2654.71,3342.15,0.0,9117.9,3092.14,2988.3100000000004,0.0,3.0,2.0,1.0,3.0,1.0,2.0,5090.82,3673.24,3342.15,3092.14,21450.99,14704.150000000001,11312.74,0.0,17884.967142857142,4527.687272293711,12774.35,24792.6,17879.684285714284,6411.019667820417,5978.53,28755.25,0.0,0.0,0.0,0.0,-0.29148491514843844,-0.18252137777314015
2023-04-04,7,16662.17,2380.31,1103.2526259958174,17,2.4285714285714284,7,3.4285714285714284,7.091242083423346,3.2857142857142856,2023-04-04,1,2023-04-04,14,3043.92,951.27,0.0,0.0,4685.62,0.0,1955.04,0.0,4091.52,0.0,1934.8,4359.95,1955.04,3043.92,7303.26,5.0,0.0,2.0,3.0,0.0,4.0,0.0,8680.81,1955.04,6026.32,15198.35,20663.71,28755.25,0.0,17313.318571428572,4368.181516681849,12774.35,24792.6,17015.89285714286,5595.83474172109,5978.53,28272.42,0.0,0.0,0.0,0.0,0.09631440255027668,0.3522227614538478
2023-04-05,9,23116.06,2568.4511111111115,1335.262638673048,20,2.2222222222222223,9,2.0,5.0990195135927845,2.888888888888889,2023-04-05,2,2023-04-05,14,3821.54,0.0,2802.9399999999996,3558.14,0.0,1152.09,0.0,0.0,7529.6,0.0,4251.75,10612.83,3821.54,7255.93,1425.76,8.0,0.0,1.0,4.0,3.0,2.0,4001.17,7823.280000000001,3785.67,7505.9400000000005,16662.17,24792.6,18591.74,0.0,17073.812857142857,3911.876682295911,12774.35,23116.06,17339.058571428573,5819.99473820256,5978.53,28272.42,0.0,0.0,0.0,0.0,0.3873379037664364,2.866512336644627
2023-04-06,12,22488.07,1874.0058333333334,805.5817214620674,26,2.1666666666666665,12,3.5833333333333335,7.076957915187382,3.6666666666666665,2023-04-06,3,2023-04-06,14,0.0,0.0,4545.71,6701.79,0.0,2625.78,3733.06,3080.21,0.0,0.0,1801.52,3823.78,6751.18,7047.48,4865.63,8.0,1.0,3.0,2.0,5.0,5.0,1793.45,4954.38,9091.48,6648.76,23116.06,16978.190000000002,12322.06,0.0,17860.93857142857,4411.816396763087,12774.35,23116.06,18065.202142857142,5779.941874890303,5978.53,28272.42,0.0,0.0,0.0,0.0,-0.02716682687274563,-0.2045933811113445
2023-04-07,10,24881.99,2488.199,1487.2296441628196,17,1.7,10,2.7,5.982381539896037,3.2,2023-04-07,4,2023-04-07,14,0.0,7849.67,1950.72,1388.41,0.0,0.0,2129.39,11563.8,0.0,0.0,0.0,6449.35,4479.29,5418.64,8534.710000000001,8.0,0.0,2.0,4.0,3.0,3.0,11475.119999999999,3774.0200000000004,9080.650000000001,552.2,22488.07,13336.58,5978.53,0.0,19510.282857142854,4592.888165097266,12774.35,24881.99,19415.449285714287,4876.608810257808,12774.35,28272.42,0.0,0.0,0.0,0.0,0.10645288813135156,0.5083047113779398
2023-04-08,5,13823.65,2764.73,1341.212706359435,11,2.2,5,7.0,14.230249470757707,2.8,2023-04-08,5,2023-04-08,14,0.0,0.0,4454.66,0.0,6310.0,0.0,0.0,0.0,0.0,3058.99,0.0,3744.47,0.0,10079.18,0.0,3.0,2.0,0.0,3.0,0.0,2.0,4454.66,4368.8,3782.86,1217.33,24881.99,12774.35,28272.42,0.0,19660.182857142856,4346.942256892447,13823.65,24881.99,18383.394285714287,4359.493963606175,12774.35,24881.99,0.0,0.0,0.0,0.0,-0.44443149442628993,-0.059881053988159905
2023-04-09,11,28630.09,2602.7354545454546,1027.7027214750735,24,2.1818181818181817,11,0.45454545454545453,3.3275707765165983,3.1818181818181817,2023-04-09,6,2023-04-09,14,0.0,3555.24,9515.67,6972.37,3374.44,0.0,0.0,0.0,1220.63,3991.74,0.0,3073.92,1049.09,13042.630000000001,11464.45,11.0,0.0,0.0,4.0,5.0,2.0,6781.68,4361.99,4595.07,12891.35,13823.65,21450.99,16496.66,0.0,20685.768571428573,5526.6762681212285,13823.65,28630.09,19250.067857142858,5098.919363097634,12774.35,28630.09,0.0,0.0,0.0,0.0,1.0710948266195977,0.38552515496975137
2023-04-10,8,11178.87,1397.35875,852.988687890785,16,2.0,8,4.0,9.456668093391638,3.25,2023-04-10,0,2023-04-10,15,631.7,0.0,0.0,0.0,972.69,3355.51,1890.1200000000001,2964.71,0.0,1364.14,0.0,2968.53,1355.75,4964.47,1890.1200000000001,5.0,1.0,2.0,2.0,4.0,2.0,0.0,6320.22,1784.64,3074.01,28630.09,15198.35,14704.150000000001,0.0,20111.557142857142,6340.691733453894,11178.87,28630.09,18998.26214285714,5417.762117933054,11178.87,28630.09,0.0,0.0,0.0,0.0,-0.6095412204432469,-0.5491045715253744
2023-04-11,11,29017.84,2637.9854545454546,877.2212053337928,22,2.0,11,5.363636363636363,8.393720596645178,3.1818181818181817,2023-04-11,1,2023-04-11,15,6498.98,0.0,1254.05,7228.32,2753.36,0.0,0.0,3931.08,4922.17,2429.88,0.0,1494.23,9855.71,2429.88,15238.02,8.0,1.0,2.0,4.0,3.0,4.0,8857.65,15403.29,2008.62,2748.2799999999997,11178.87,16662.17,20663.71,0.0,21876.652857142857,6914.247277158274,11178.87,29017.84,19594.985714285714,6039.683004578602,11178.87,29017.84,0.0,0.0,0.0,0.0,1.5957757805574264,0.7091244708652686
2023-04-12,6,9790.97,1631.8283333333331,1138.0638349656256,13,2.1666666666666665,6,5.666666666666667,8.824209124146293,3.6666666666666665,2023-04-12,2,2023-04-12,15,946.86,0.0,0.0,0.0,0.0,2115.19,3676.83,0.0,1730.33,0.0,1321.76,3052.09,946.86,329.79,5462.23,3.0,1.0,2.0,1.0,3.0,2.0,1785.4,1276.65,0.0,6728.92,29017.84,23116.06,24792.6,0.0,19973.06857142857,8226.00612474533,9790.97,29017.84,18523.440714285713,6368.429516522488,9790.97,29017.84,0.0,0.0,0.0,0.0,-0.6625879114365507,-0.26585601406057624
2023-04-13,9,22465.7,2496.188888888889,1158.216525227952,20,2.2222222222222223,9,4.555555555555555,8.74801564800714,3.5555555555555554,2023-04-13,3,2023-04-13,15,4625.58,0.0,1897.12,2722.55,4770.21,0.0,4342.29,0.0,931.61,3176.34,0.0,6332.3099999999995,3969.6099999999997,5073.46,7090.32,6.0,1.0,2.0,4.0,1.0,4.0,8993.35,9415.75,0.0,4056.6000000000004,9790.97,22488.07,16978.190000000002,0.0,19969.872857142855,8224.870498990073,9790.97,29017.84,18915.405714285713,6434.536175015277,9790.97,29017.84,0.0,0.0,0.0,0.0,1.2945326152567111,0.7586569962463843
2023-04-14,7,14320.25,2045.75,1431.0202276581092,12,1.7142857142857142,7,3.7142857142857144,6.395683067879607,3.0,2023-04-14,4,2023-04-14,15,0.0,0.0,0.0,5806.6,2721.16,1580.27,4129.04,83.18,0.0,0.0,0.0,8430.47,2977.3,2352.18,560.3,4.0,0.0,3.0,3.0,1.0,3.0,477.12,8686.61,83.18,5073.34,22465.7,24881.99,13336.58,0.0,18461.052857142855,8141.913651050174,9790.97,29017.84,18985.667857142857,6374.017994740812,9790.97,29017.84,17955.94366666667,6262.324376515471,5978.53,29017.84,-0.36257272197171686,-0.3324200887697958
2023-04-15,8,19029.83,2378.72875,1261.9913097893855,16,2.0,8,3.375,7.170126518110701,3.375,2023-04-15,5,2023-04-15,15,1787.9,1409.57,0.0,3128.46,0.0,0.0,5640.76,2620.23,0.0,1401.29,3041.62,5640.76,7071.42,4529.75,1787.9,5.0,0.0,3.0,3.0,3.0,2.0,4751.01,0.0,4087.2200000000003,10191.6,14320.25,13823.65,12774.35,16066.04,19204.792857142857,7881.312340726671,9790.97,29017.84,19432.48785714286,6119.274575932094,9790.97,29017.84,18054.736666666668,6254.855177866635,5978.53,29017.84,0.3288755433738937,0.2520984185783326
2023-04-16,14,24965.69,1783.2635714285714,1213.5383116997941,32,2.2857142857142856,14,3.142857142857143,8.672300225937247,3.357142857142857,2023-04-16,6,2023-04-16,15,0.0,2631.12,2700.37,4198.469999999999,3179.87,936.98,2700.91,2248.31,0.0,1831.1799999999998,4538.48,2525.5099999999998,9255.96,4478.17,8706.05,10.0,1.0,3.0,4.0,7.0,3.0,6390.28,6289.93,9585.11,2700.37,19029.83,28630.09,21450.99,10818.65,18681.307142857146,7247.113837942005,9790.97,29017.84,19683.53785714286,6278.482098414429,9790.97,29017.84,18526.304666666667,6223.709449260854,5978.53,29017.84,0.31192396358769336,0.4983456536573567
2023-04-17,9,19978.79,2219.8655555555556,1576.5957946721087,18,2.0,9,4.777777777777778,6.722681343366235,3.4444444444444446,2023-04-17,0,2023-04-17,16,896.97,426.72,0.0,0.0,0.0,1620.7,0.0,3061.87,1906.85,3034.51,9031.17,3527.55,6536.77,9031.17,883.3,6.0,0.0,3.0,4.0,3.0,2.0,2517.67,3061.87,6402.389999999999,7996.860000000001,24965.69,11178.87,15198.35,18575.53,19938.43857142857,6447.97379752852,9790.97,29017.84,20024.99785714286,6144.349008848799,9790.97,29017.84,18573.08,6229.362818225444,5978.53,29017.84,-0.1997501370881397,-0.13571819765132986
2023-04-18,3,4790.4400000000005,1596.8133333333335,1143.3009420678939,8,2.6666666666666665,3,-0.3333333333333333,4.509249752822894,4.0,2023-04-18,1,2023-04-18,16,0.0,0.0,0.0,0.0,0.0,2575.94,0.0,0.0,1874.14,0.0,340.36,2575.94,0.0,0.0,2214.5,3.0,0.0,0.0,0.0,1.0,2.0,0.0,4450.08,340.36,0.0,19978.79,29017.84,16662.17,15214.11,16477.38142857143,7218.40369192623,4790.4400000000005,24965.69,19177.017142857145,7345.880402143178,4790.4400000000005,29017.84,18225.624333333333,6696.372139813742,4790.4400000000005,29017.84,-0.7602237172521459,-0.7869786068791141
2023-04-19,7,18451.08,2635.8685714285716,1326.634348485276,13,1.8571428571428572,7,8.142857142857142,14.005101111482814,3.5714285714285716,2023-04-19,2,2023-04-19,16,0.0,1834.92,0.0,2873.05,2037.05,0.0,0.0,4167.91,0.0,6660.08,878.07,4910.1,8495.0,0.0,5045.98,4.0,2.0,1.0,3.0,2.0,2.0,10578.39,2873.05,0.0,4999.64,4790.4400000000005,9790.97,23116.06,11312.74,17714.54,6596.7867190574925,4790.4400000000005,24965.69,18843.804285714286,7258.745177976398,4790.4400000000005,29017.84,18463.569,6567.855173261165,4790.4400000000005,29017.84,2.8516461953390504,-0.2584564176739883
2023-04-20,1,935.64,935.64,0.0,2,2.0,1,12.0,0.0,4.0,2023-04-20,3,2023-04-20,16,0.0,0.0,0.0,0.0,0.0,935.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.64,0.0,0.0,1.0,0.0,1.0,0.0,0.0,935.64,0.0,0.0,18451.08,22465.7,22488.07,28755.25,14638.817142857142,8697.155055027499,935.64,24965.69,17304.344999999998,8589.817528548869,935.64,29017.84,17536.248666666666,7013.476763213527,935.64,29017.84,-0.9492907732230309,-0.932315994690259
2023-04-21,14,36532.44,2609.46,1345.263920283074,22,1.5714285714285714,14,7.0,9.687422456265333,3.4285714285714284,2023-04-21,4,2023-04-21,16,4263.33,951.9,2926.3999999999996,0.0,3107.41,7954.5599999999995,3947.39,2457.47,3047.03,2956.03,4920.92,13685.73,6664.14,5504.5,10678.07,9.0,3.0,2.0,5.0,5.0,4.0,11166.75,10954.73,4519.8099999999995,9891.15,935.64,14320.25,24881.99,18591.74,17811.987142857142,11990.198901263362,935.64,36532.44,18136.52,9852.013724705454,935.64,36532.44,18134.272,7824.5614594255,935.64,36532.44,38.0454020777222,0.27601554867623546
2023-04-22,4,9892.36,2473.09,1210.0436286073875,5,1.25,4,6.0,6.928203230275509,2.75,2023-04-22,5,2023-04-22,16,3392.34,0.0,0.0,0.0,3462.79,0.0,0.0,0.0,3037.23,0.0,0.0,0.0,3392.34,2763.17,3736.85,3.0,1.0,0.0,2.0,1.0,1.0,0.0,4091.96,2763.17,3037.23,36532.44,19029.83,13823.65,12322.06,16506.634285714284,12328.14495667516,935.64,36532.44,17855.713571428572,10038.65476192028,935.64,36532.44,18053.282,7899.017011339035,935.64,36532.44,-0.7292171012940827,-0.11508408273823745
